Titulo,Año,Duracion,Genero,Clasificacion,Descripcion,Estrellas,votes,Tipo,duracion_num,genero_principal,duration_min,link
Los Tiempos de Pablo Escobar,(2012 TV Movie),46 min,Documentary,6.8,"A complete journalistic document that brings never before seen shocking images and testimonials from people who show how the barbaric acts of Pablo Escobar managed to subdue a nation, and how his legacy continues to affect the world today.",['Alessandro Angulo'],270,Pelicula,46.0,Documentary,46.0,https://image.tmdb.org/t/p/w500/8nBEzwgUrcZu910BCt9Q7I1vEve.jpg
Los Tigres del Norte at Folsom Prison,(2019 TV Special),64 min,"Documentary, Music",7.0,The band Los Tigres del Norte visit both the male and female inmates of Folsom Prison. Inmates share their stories and how the music of Los Tigres del Norte speaks to them.,"['Tom Donahue', '| ', '    Star:', 'Los Tigres del Norte']",179,Pelicula,64.0,Documentary,64.0,https://upload.wikimedia.org/wikipedia/en/3/31/Los_Tigres_del_Norte_at_Folsom_Prison_poster.jpg
Los días de Ayotzinapa (The 43s),(2019),75 min,"Documentary, Crime, Drama",7.8,"43 students disapeared in Ayotzinapa, Mexico. This documentary explains how and why this happened.",['Matías Gueilburt'],64,Pelicula,,Documentary,75.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Los héroes del mal,(2015),98 min,"Crime, Drama, Thriller",6.1,"Three teenagers, brought together by bullying, indulge in petty theft, sex and drugs. They inevitably realize they can resort to violence to take revenge on everyone who has humiliated them: students, teachers and other outcasts. One of them escalates to killing, and desires to kill again. Anyone can become his next victim. The other two face the question: should they resort to violence to stop ...                See full summary »","['Zoe Berriatúa', '| ', '    Stars:', 'Emilio Palacios, ', 'Jorge Clemente, ', 'Beatriz Medina, ', 'Macarena Gómez']","1,088",Pelicula,98.0,Crime,98.0,https://image.tmdb.org/t/p/w500/ldOsl90vZre32wx8skZYaEs7tqF.jpg
Losers,(2019– ),30 min,"Documentary, Sport",7.6,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph.","['Mickey Rourke, ', 'Harold Perrineau, ', 'Ron Shelton, ', 'Michael Bentt']","1,805",Serie,30.0,Documentary,30.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Lost & Found Music Studios,(2015–2016),30 min,"Family, Music",6.4,Lost and found is a place where young musicians come to discover themselves and define them self as they choose in this series you get to know who they are.,"['Levi Randall, ', 'Alex Zaichkowski, ', 'Keara Graves, ', 'Shane Harte']",648,Serie,30.0,Family,30.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Lost Bullet,(2020),92 min,"Action, Crime, Thriller",6.3,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.","['Guillaume Pierret', '| ', '    Stars:', 'Alban Lenoir, ', 'Nicolas Duvauchelle, ', 'Ramzy Bedia, ', 'Stéfi Celma']","9,690",Serie,92.0,Action,92.0,https://image.tmdb.org/t/p/w500/vzQICVAfko1BRfVoZ7uSqqwoOgN.jpg
Lost Girls,(2020),95 min,"Crime, Drama, Mystery",6.1,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","['Liz Garbus', '| ', '    Stars:', 'Amy Ryan, ', 'Thomasin McKenzie, ', 'Gabriel Byrne, ', 'Lola Kirke']","21,978",Pelicula,95.0,Crime,95.0,https://image.tmdb.org/t/p/w500/7LBcRLTT5YlvR6I4d91qRpb4qVx.jpg
Lost Ollie,(2022),45 min,"Animation, Adventure, Drama",7.8,"A lost toy, searching across the countryside for the boy who lost him, and the story of the boy who lost more than a best friend.","['Jake Johnson, ', 'Gina Rodriguez, ', 'Kesler Talbot, ', 'Jonathan Groff']","1,071",Serie,45.0,Animation,45.0,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Lost_Ollie.png/250px-Lost_Ollie.png
Lost Song,(2018– ),25 min,"Animation, Adventure, Drama",7.0,"Rin, a young girl blessed with the power of song goes through on a journey trying to get to the capital to sing, little does she know, there's another girl who also has the power of song named finis.","['Konomi Suzuki, ', 'Yukari Tamura, ', 'Cherami Leigh, ', 'Todd Haberkorn']",381,Serie,25.0,Animation,25.0,https://image.tmdb.org/t/p/w500/vqvetKC7JVGzxey9UG4GrD7WPyl.jpg
Lost Tapes,(2008– ),30 min,"Horror, Mystery, Sci-Fi",6.1,"Explores the possibility of hidden creatures through ""found footage"" videos and information provided by experts.","['Loren Coleman, ', 'Dallas Santana, ', 'Jessica Lynch Alfaro, ', 'Craig Stanford']",907,Serie,30.0,Horror,30.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Lost_tapes.jpg/250px-Lost_tapes.jpg
Lost in Space,(2018–2021),60 min,"Adventure, Drama, Family",7.3,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers.","['Molly Parker, ', 'Toby Stephens, ', 'Maxwell Jenkins, ', 'Taylor Russell']","99,084",Serie,60.0,Adventure,60.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Lost_in_Space_%281965_TV_series_logo%29.svg/250px-Lost_in_Space_%281965_TV_series_logo%29.svg.png
Lostorage incited Wixoss,(2016– ),24 min,"Animation, Drama, Fantasy",5.8,"High school student Homura Suzuko has returned to Ikebukuro, the town where she grew up. ""We're friends forever!"" She treasures her memories of her old friend from when she was little, ...                See full summary »","['Yuka Iguchi, ', 'Chinami Hashimoto, ', 'Yûichi Nakamura, ', 'Shizuka Itô']",43,Serie,24.0,Animation,24.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Lou,(I) (2022),107 min,"Action, Crime, Drama",5.9,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.","['Anna Foerster', '| ', '    Stars:', 'Allison Janney, ', 'Jurnee Smollett, ', 'Logan Marshall-Green, ', 'Ridley Asha Bateman']",880,Pelicula,107.0,Action,107.0,https://image.tmdb.org/t/p/w500/4l9wSwvabTefMJ3TkXnh9evzmVV.jpg
Louder Than a Bomb,(2010),99 min,Documentary,7.3,"By turns hopeful and heartbreaking, Louder Than a Bomb follows the fortunes of four Chicago-area high school poetry teams as they prepare for and compete in the world's largest youth slam.","['Greg Jacobs, ', 'Jon Siskel', '| ', '    Stars:', 'Kevin Coval, ', 'Adam Gottlieb, ', 'Elizabeth Graf, ', 'Kevin Harris']",382,Pelicula,99.0,Documentary,99.0,https://image.tmdb.org/t/p/w500/aGyBUT0Biz75p2yY6XcZBzYHE4J.jpg
Loudon Wainwright III: Surviving Twin,(2018),91 min,"Documentary, Music",7.1,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,"['Christopher Guest', '| ', '    Star:', 'Loudon Wainwright III']",96,Serie,91.0,Documentary,91.0,https://image.tmdb.org/t/p/w500/ylJGy4XjLB6kvpcCS0ZufB16JoE.jpg
Louis C.K. 2017,(2017 TV Special),74 min,Comedy,7.6,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers, and more in a live performance from Washington D.C.","['Louis C.K.', '| ', '    Stars:', 'Louis C.K., ', 'Joe List']","10,306",Serie,74.0,Comedy,74.0,https://image.tmdb.org/t/p/w500/hUa2qgwOXIgEoMatz5UpmxevgG7.jpg
Love,(2016–2018),50 min,"Comedy, Drama, Romance",7.7,"A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment, and other things they were hoping to avoid.","['Gillian Jacobs, ', 'Paul Rust, ', ""Claudia O'Doherty, "", 'Mike Mitchell']","42,755",Serie,50.0,Comedy,50.0,https://image.tmdb.org/t/p/w500/lwSD8oTwL2Dau0gE9pxXY3Zdhh2.jpg
Love & Anarchy,(2020– ),30 min,"Comedy, Drama, Romance",7.4,"When Sofie, a career-driven consultant and married mother of two, gets an assignment to modernize an old publishing house, she meets young IT tech Max and an unexpected flirting game begins.","['Ida Engvoll, ', 'Björn Mosten, ', 'Gizem Erdogan, ', 'Reine Brynolfsson']","9,989",Serie,30.0,Comedy,30.0,https://upload.wikimedia.org/wikipedia/en/f/f5/Filmdamoreedanarchia-LinaWertmller.jpg
Love & Gelato,(2022),110 min,"Comedy, Drama, Romance",5.1,"Lina makes a promise to her sick mother that she'll spend the summer before college in Rome, where she falls for the city, the people - and the ""gelato"".","['Brandon Camp', '| ', '    Stars:', 'Susanna Skaggs, ', 'Tobia De Angelis, ', 'Owen McDonnell, ', 'Valentina Lodovini']","4,869",Serie,110.0,Comedy,110.0,https://upload.wikimedia.org/wikipedia/en/9/9a/Love_%26_Gelato_resize.jpg
Love 101,(2020–2021),45 min,"Comedy, Drama, Romance",8.1,"Tuncay shares unpleasant news with Burcu. An incident at the school lab proves to be the last straw for Necdet, and the crew faces imminent expulsion.","['Deniz Yorulmazer', '| ', '    Stars:', 'Kubilay Aka, ', 'Alina Boz, ', 'Mert Yazicioglu, ', 'Selahattin Pasali']",452,Serie,,Comedy,45.0,https://upload.wikimedia.org/wikipedia/en/4/49/Love_101.jpg
Love Aaj Kal,(2020),142 min,"Drama, Romance",4.7,"When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone era may offer some wisdom.","['Imtiaz Ali', '| ', '    Stars:', 'Kartik Aaryan, ', 'Sara Ali Khan, ', 'Randeep Hooda, ', 'Sonu Saini']","10,304",Pelicula,142.0,Drama,142.0,https://image.tmdb.org/t/p/w500/36hkylLil37eF45uIeSTe31NRVq.jpg
Love Alarm,(2019–2021),49 min,"Comedy, Drama, Romance",8.3,"Jojo confronts Sun Oh about the photos. As rumors spread at school, Jang Go gets mad at Jojo for lying. Il Sik confronts Jang Go about what she did.","['Lee Na-Jeong', '| ', '    Stars:', 'Kim So-Hyun, ', 'Song Kang, ', 'Ga-ram Jung, ', 'Tommy Arciniega']",98,Serie,49.0,Comedy,49.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Love_Alarm_title_card.png/250px-Love_Alarm_title_card.png
Love Between Fairy and Devil,(2022– ),40 min,"Comedy, Fantasy, Romance",8.6,"A girl whose tribe was vanquished by Demon Lord, Qingcang was reborn. To gain freedom from a curse Dongfang must sacrifice Lanhua's soul. In the process, the heartless demon falls in love with the young fairy.","['Dylan Wang, ', 'Esther Yu, ', 'Haiqiao Xu, ', 'Xiaoting Guo']",365,Serie,40.0,Comedy,40.0,https://upload.wikimedia.org/wikipedia/en/f/f9/Love_Between_Fairy_and_Devil.jpg
